ts,cfg,epoch,bodies_mean,n_bodies,peak_mib,total_peak_mib
1788540856,rtg_e31_s2,110,18.15,17,8784,11858
1788540856,rtg_e31_s3,115,12.15,12,3908,11858
1788540984,rtg_e31_s2,111,17.9,17,8784,14962
1788540984,rtg_e31_s3,116,12.0,12,5782,14962
1788541110,rtg_e31_s2,112,17.95,17,7404,11626
1788541110,rtg_e31_s3,117,12.2,12,3890,11626
1788541238,rtg_e31_s2,113,18.25,17,7404,13592
1788541238,rtg_e31_s3,118,11.8,12,5792,13592
1788541364,rtg_e31_s2,113,18.25,17,6294,12430
1788541364,rtg_e31_s3,118,11.8,12,5740,12430
1788541491,rtg_e31_s2,114,18.2,17,7386,10460
1788541491,rtg_e31_s3,119,11.95,11,2678,10460
1788541618,rtg_e31_s2,115,18.4,17,4846,10064
1788541618,rtg_e31_s3,119,11.95,11,4822,10064
1788541745,rtg_e31_s2,116,18.55,17,4580,9810
1788541745,rtg_e31_s3,120,12.0,12,4834,9810
1788541873,rtg_e31_s2,117,18.1,17,6242,11462
1788541873,rtg_e31_s3,121,11.95,12,4824,11462
1788542001,rtg_e31_s2,118,18.05,17,6242,11462
1788542001,rtg_e31_s3,122,12.05,12,4824,11462
1788542127,rtg_e31_s2,118,18.05,17,5970,11166
1788542127,rtg_e31_s3,122,12.05,12,4840,11166
1788542255,rtg_e31_s2,119,18.55,17,4836,10072
1788542255,rtg_e31_s3,123,12.15,12,5768,10072
1788542381,rtg_e31_s2,120,17.95,17,7388,13552
1788542381,rtg_e31_s3,124,12.25,12,5768,13552
1788542507,rtg_e31_s2,121,18.1,17,7416,13610
1788542507,rtg_e31_s3,125,12.05,12,5798,13610
1788542634,rtg_e31_s2,122,18.5,17,7474,13678
1788542634,rtg_e31_s3,126,12.0,12,5808,13678
1788542760,rtg_e31_s2,123,18.35,17,7474,13678
1788542760,rtg_e31_s3,126,12.0,12,6718,13678
1788542889,rtg_e31_s2,125,18.05,18,5968,13082
1788542889,rtg_e31_s3,128,12.3,12,6718,13082
1788543015,rtg_e31_s2,126,17.8,18,6078,12274
1788543015,rtg_e31_s3,129,12.1,12,5800,12274
1788543143,rtg_e31_s2,127,18.1,18,6250,12170
1788543143,rtg_e31_s3,130,12.15,12,5800,12170
1788543269,rtg_e31_s2,128,17.95,18,7380,11496
1788543269,rtg_e31_s3,131,12.4,11,4850,11496
1788543396,rtg_e31_s2,129,18.35,18,7478,11666
1788543396,rtg_e31_s3,131,12.4,11,3890,11666
1788543523,rtg_e31_s2,130,18.15,18,7478,11788
1788543523,rtg_e31_s3,132,12.0,11,3914,11788
1788543649,rtg_e31_s2,131,18.2,18,7378,12640
