ts,cfg,pid,mib,total_mib,bodies_mean,motors_mean,epoch
1788653058,rtg_e4r_s2,695070,2846,11158,18.55,9.45,13
1788653063,rtg_e4r_s1,694927,2798,6040,19.45,9.25,12
1788653063,rtg_e4r_s2,695070,2846,6040,18.55,9.45,13
1788653068,rtg_e4r_s1,694927,2798,6040,18.3,9.55,13
1788653068,rtg_e4r_s2,695070,2846,6040,18.55,9.45,13
1788653074,rtg_e4r_s1,694927,2798,6040,18.3,9.55,13
1788653074,rtg_e4r_s2,695070,2846,6040,18.55,9.45,13
1788653079,rtg_e4r_s1,694927,2798,6040,18.3,9.55,13
1788653079,rtg_e4r_s2,695070,2846,6040,18.55,9.45,13
1788653084,rtg_e4r_s1,694927,2798,6040,18.3,9.55,13
1788653084,rtg_e4r_s2,695070,2846,6040,18.55,9.45,13
1788653090,rtg_e4r_s1,694927,2798,6040,18.3,9.55,13
1788653090,rtg_e4r_s2,695070,2846,6040,18.55,9.45,13
1788653095,rtg_e4r_s1,694927,2798,6040,18.3,9.55,13
1788653095,rtg_e4r_s2,695070,2846,6040,18.55,9.45,13
1788653101,rtg_e4r_s1,694927,2798,6040,18.3,9.55,13
1788653101,rtg_e4r_s2,695070,2846,6040,18.55,9.45,13
1788653106,rtg_e4r_s1,694927,2798,6040,18.3,9.55,13
1788653106,rtg_e4r_s2,695070,2846,6040,18.55,9.45,13
1788653111,rtg_e4r_s1,694927,2798,6040,18.3,9.55,13
1788653111,rtg_e4r_s2,695070,2846,6040,18.55,9.45,13
1788653116,rtg_e4r_s1,694927,2798,9464,18.3,9.55,13
1788653116,rtg_e4r_s2,695070,6272,9464,18.55,9.45,13
1788653122,rtg_e4r_s1,694927,2798,9536,18.3,9.55,13
1788653122,rtg_e4r_s2,695070,6342,9536,18.55,9.45,13
1788653127,rtg_e4r_s1,694927,2798,9538,18.3,9.55,13
1788653127,rtg_e4r_s2,695070,6344,9538,18.55,9.45,13
1788653132,rtg_e4r_s1,694927,7678,14418,18.3,9.55,13
1788653132,rtg_e4r_s2,695070,6344,14418,18.55,9.45,13
1788653137,rtg_e4r_s1,694927,7744,14486,18.3,9.55,13
1788653137,rtg_e4r_s2,695070,6346,14486,18.55,9.45,13
1788653142,rtg_e4r_s1,694927,7744,14486,18.3,9.55,13
1788653142,rtg_e4r_s2,695070,6346,14486,18.55,9.45,13
1788653147,rtg_e4r_s1,694927,7746,14488,18.3,9.55,13
1788653147,rtg_e4r_s2,695070,6346,14488,18.55,9.45,13
1788653152,rtg_e4r_s1,694927,7746,14488,18.3,9.55,13
1788653152,rtg_e4r_s2,695070,6346,14488,18.55,9.45,13
1788653158,rtg_e4r_s1,694927,7746,14488,18.3,9.55,13
1788653158,rtg_e4r_s2,695070,6346,14488,18.55,9.45,13
1788653163,rtg_e4r_s1,694927,7746,14488,18.3,9.55,13
1788653163,rtg_e4r_s2,695070,6346,14488,18.55,9.45,13
1788653168,rtg_e4r_s1,694927,7746,14488,18.3,9.55,13
1788653168,rtg_e4r_s2,695070,6346,14488,18.55,9.45,13
1788653173,rtg_e4r_s1,694927,7746,14488,18.3,9.55,13
1788653173,rtg_e4r_s2,695070,6346,14488,18.55,9.45,13
1788653178,rtg_e4r_s1,694927,7746,14488,18.3,9.55,13
1788653178,rtg_e4r_s2,695070,6346,14488,18.55,9.45,13
1788653183,rtg_e4r_s1,694927,7746,14488,18.3,9.55,13
1788653183,rtg_e4r_s2,695070,6346,14488,18.55,9.45,13
1788653189,rtg_e4r_s1,694927,7746,14488,18.3,9.55,13
1788653189,rtg_e4r_s2,695070,6346,14488,18.55,9.45,13
1788653194,rtg_e4r_s1,694927,7746,14488,18.3,9.55,13
1788653194,rtg_e4r_s2,695070,6346,14488,18.55,9.45,13
1788653199,rtg_e4r_s1,694927,7746,14488,18.3,9.55,13
1788653199,rtg_e4r_s2,695070,6346,14488,18.55,9.45,13
1788653204,rtg_e4r_s1,694927,7746,14488,18.3,9.55,13
1788653204,rtg_e4r_s2,695070,6346,14488,18.55,9.45,13
1788653209,rtg_e4r_s1,694927,7746,14488,18.3,9.55,13
1788653209,rtg_e4r_s2,695070,6346,14488,18.55,9.45,13
1788653214,rtg_e4r_s1,694927,7746,14488,18.3,9.55,13
1788653214,rtg_e4r_s2,695070,6346,14488,18.55,9.45,13
1788653220,rtg_e4r_s1,694927,7746,14488,18.3,9.55,13
1788653220,rtg_e4r_s2,695070,6346,14488,18.55,9.45,13
